Bird,Habitat
Chuck-will's-widow (Caprimulgus carolinensis),Open Woodlands
Clapper Rail (Rallus longirostris),Marshes
American Oystercatcher (Haematopus palliatus),Shorelines
Willet (Tringa semipalmata),Shorelines
Blue Grosbeak (Passerina caerulea),Open Woodlands
Yellow-crowned Night-Heron (Nyctanassa violacea),Marshes
Seaside Sparrow (Ammodramus maritimus),Marshes
Little Blue Heron (Egretta caerulea),Marshes
Snowy Egret (Egretta thula),Marshes
Tricolored Heron (Egretta tricolor),Marshes
Piping Plover (Charadrius melodus),Shorelines
Black Skimmer (Rynchops niger),Shorelines
Least Tern (Sternula antillarum),Shorelines
Gull-billed Tern (Gelochelidon nilotica),Shorelines
Laughing Gull (Leucophaeus atricilla),Shorelines
Forster's Tern (Sterna forsteri),Marshes
King Rail (Rallus elegans),Marshes
Roseate Tern (Sterna dougallii),Shorelines
Black Rail (Laterallus jamaicensis),Marshes
Summer Tanager (Piranga rubra),Open Woodlands
Common Eider (Somateria mollissima),Oceans
Western Kingbird (Tyrannus verticalis),Grasslands
Lesser Scaup (Aythya affinis),Lakes and Ponds
Eurasian Collared-Dove (Streptopelia decaocto),Towns
American White Pelican (Pelecanus erythrorhynchos),Lakes and Ponds
Canvasback (Aythya valisineria),Lakes and Ponds
Western Meadowlark (Sturnella neglecta),Grasslands
