Bird,Ratio
Cerulean Warbler (Dendroica cerulea),0.4540280106525788
Golden-crowned Kinglet (Regulus satrapa),4.735254190476259
Louisiana Waterthrush (Seiurus motacilla),0.6921728341467729
Yellow-bellied Flycatcher (Empidonax flaviventris),11.7149560892521
Canada Warbler (Wilsonia canadensis),2.769144698139762
Fish Crow (Corvus ossifragus),0.13978420032664007
Hooded Warbler (Wilsonia citrina),0.3880105480389189
Northern Parula (Parula americana),8.178384037265111
Ruby-crowned Kinglet (Regulus calendula),6.2273282658132265
Common Nighthawk (Chordeiles minor),0.4439947484691249
White-winged Tern (Chlidonias leucopterus),11.767396600709308
Long-eared Owl (Asio otus),1.096006882797971
Swainson's Thrush (Catharus ustulatus),13.097608733905107
Olive-sided Flycatcher (Contopus cooperi),10.094011574949999
Mallard x Am. Black Duck Hybrid (Anas platyrhynchos x A. rubripes),0.791970965519589
Ruddy Duck (Oxyura jamaicensis),0.8833653888563819
Yellow-breasted Chat (Icteria virens),0.20720400357558252
Northern Saw-whet Owl (Aegolius acadicus),2.5782913062282944
Lincoln's Sparrow (Melospiza lincolnii),11.680352558305511
Philadelphia Vireo (Vireo philadelphicus),5.364494462717636
Acadian Flycatcher (Empidonax virescens),0.6876680844452802
Merlin (Falco columbarius),6.514447503274556
Black-backed Woodpecker (Picoides arcticus),17.100808195311593
Boreal Chickadee (Poecile hudsonica),19.761369428338735
American Three-toed Woodpecker (Picoides dorsalis),13.065161983271304
Golden Eagle (Aquila chrysaetos),2.7098296676789775
Northern Pintail (Anas acuta),1.02795571022401
White-winged Crossbill (Loxia leucoptera),11.20297246515766
Peregrine Falcon (Falco peregrinus),1.4437313480062417
Rusty Blackbird (Euphagus carolinus),29.531473394582054
Loggerhead Shrike (Lanius ludovicianus),0
White-eyed Vireo (Vireo griseus),0.16516148015753299
Lawrence's Warbler (Vermivora chrysoptera x V. pinus),0.6370479486405612
Red Crossbill (Loxia curvirostra),5.310048112099733
Ring-necked Duck (Aythya collaris),12.174043012493787
Northern Bobwhite (Colinus virginianus),0.16551578757716023
Gray Jay (Perisoreus canadensis),9.509982911914326
Blackpoll Warbler (Dendroica striata),25.564859783291922
Redhead (Aythya americana),0.5844947867929431
Tennessee Warbler (Vermivora peregrina),11.572427875375046
Bay-breasted Warbler (Dendroica castanea),16.448057066625793
Common Goldeneye (Bucephala clangula),3.5867680160143602
Spruce Grouse (Falcipennis canadensis),4.213383921921168
Palm Warbler (Dendroica palmarum),6.910076891658861
Cape May Warbler (Dendroica tigrina),13.117530427033437
Bicknell's Thrush (Catharus bicknelli),70.17770639892632
Great Egret (Ardea alba),0.0677816928117096
Wilson's Warbler (Wilsonia pusilla),Infinity
Sandhill Crane (Grus canadensis),1.8530171111436051
Barn Owl (Tyto alba),0.038665578892914915
Cattle Egret (Bubulcus ibis),0.5061067534461113
Glossy Ibis (Plegadis falcinellus),0.030036264536268467
Wilson's Phalarope (Phalaropus tricolor),0.12671792699862766
Nelson's Sharp-tailed Sparrow (Ammodramus nelsoni),0.2705524123604829
Black Vulture (Coragyps atratus),0.12291039929829373
Worm-eating Warbler (Helmitheros vermivorum),0.29639709413727255
Kentucky Warbler (Oporornis formosus),0.42088236503417986
Yellow-throated Warbler (Dendroica dominica),0.4773619574318868
Dickcissel (Spiza americana),0.020728232195409774
Prothonotary Warbler (Protonotaria citrea),0.6381994364808936
Monk Parakeet (Myiopsitta monachus),0.0663246460055526
Boat-tailed Grackle (Quiscalus major),0.028992138299279206
Chuck-will's-widow (Caprimulgus carolinensis),0.3385522672881824
Clapper Rail (Rallus longirostris),0.02890907236846699
Saltmarsh Sharp-tailed Sparrow (Ammodramus caudacutus),0.04498774453553266
American Oystercatcher (Haematopus palliatus),0.027378960013449388
Willet (Tringa semipalmata),0.03091001736236481
Blue Grosbeak (Passerina caerulea),0.3548546965204938
Yellow-crowned Night-Heron (Nyctanassa violacea),0.03948883361989986
Seaside Sparrow (Ammodramus maritimus),0.04803685372349176
Little Blue Heron (Egretta caerulea),0.013775615553238883
Snowy Egret (Egretta thula),0.029732037370711034
Tricolored Heron (Egretta tricolor),0.01902718545840642
Piping Plover (Charadrius melodus),0.0354083777840483
Black Skimmer (Rynchops niger),0.020783604392535595
Least Tern (Sternula antillarum),0.04274794836070927
Gull-billed Tern (Gelochelidon nilotica),0
Laughing Gull (Leucophaeus atricilla),0.02169732876070632
Forster's Tern (Sterna forsteri),0.001631560330905458
King Rail (Rallus elegans),0.8562205848486315
Roseate Tern (Sterna dougallii),0.021267263387273406
Black Rail (Laterallus jamaicensis),0
Summer Tanager (Piranga rubra),0.43855946851264666
Common Eider (Somateria mollissima),0
Western Kingbird (Tyrannus verticalis),0
Lesser Scaup (Aythya affinis),0.722767875754921
Eurasian Collared-Dove (Streptopelia decaocto),0.003924273134029356
American White Pelican (Pelecanus erythrorhynchos),0.01658776170284832
Canvasback (Aythya valisineria),0
Western Meadowlark (Sturnella neglecta),2.4026543508648484
